30 20
##############################
#         ######             #
#         ######             #
#         ######             #
#                            #
#                            #
#                   ##########
#######             ##########
#######             ##########
#######             ##########
#                   ##########
#                            #
#                            #
#                            #
#       ##############       #
#       ##############       #
#       ##############       #
#       ##############       #
#       ##############       #
##############################
